"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://taxisaudiarabia.com/","1","Book a taxi in Saudi Arabia — airport transfers, Umrah transport & intercity rides at fixed prices. Licensed drivers, WhatsApp booking 24/7.","140","850","Indexable",""
"https://taxisaudiarabia.com/pricing","1","See fixed taxi fares in Saudi Arabia for 2026 — airport transfers, Umrah routes, and intercity rides by vehicle type. No surge pricing, no hidden fees. Get an instant price for any route.","187","1109","Indexable",""
"https://taxisaudiarabia.com/services/madinah-ziyarat","1","Guided Ziyarat tours in Madinah. Visit Quba Mosque, Mount Uhud, and historical Islamic sites with our knowledgeable local drivers.","130","811","Indexable",""
"https://taxisaudiarabia.com/locations/riyadh","1","Book a fixed-price taxi in Riyadh, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","154","913","Indexable",""
"https://taxisaudiarabia.com/locations/taif","1","Book a fixed-price taxi in Taif, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","152","895","Indexable",""
"https://taxisaudiarabia.com/services/airport-transfers","1","Fixed-price airport taxi in Saudi Arabia with pickups at Jeddah (JED), Riyadh (RUH) & Madinah (MED). Flight tracking, meet & greet, 24/7 licensed drivers.","154","941","Indexable",""
"https://taxisaudiarabia.com/locations/madinah","1","Book a fixed-price taxi in Madinah, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","155","925","Indexable",""
"https://taxisaudiarabia.com/terms-conditions","1","Read the terms and conditions for booking taxi, airport transfer, Umrah and intercity services with Taxi Saudi Arabia, including reservations, fares, cancellations and operational rules.","186","1119","Indexable",""
"https://taxisaudiarabia.com/locations/alula","1","Book a fixed-price taxi in AlUla, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","153","904","Indexable",""
"https://taxisaudiarabia.com/guides/saudi-riyal-pilgrim-guide","1","Everything about card acceptance, the local Mada network, currency exchange outlets, and ATM fee limits in KSA.","111","702","Indexable",""
"https://taxisaudiarabia.com/locations/abha","1","Book a fixed-price taxi in Abha, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","152","904","Indexable",""
"https://taxisaudiarabia.com/locations/neom","1","Book a fixed-price taxi in NEOM, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","152","911","Indexable",""
"https://taxisaudiarabia.com/driver-jobs","1","Driver jobs across Saudi Arabia — Riyadh, Jeddah, Makkah, Madinah, Dammam and more. Steady pre-booked trips, flexible hours and weekly payouts. Apply by city.","158","1008","Indexable",""
"https://taxisaudiarabia.com/locations/alkhobar","1","Book a fixed-price taxi in Al Khobar, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","157","932","Indexable",""
"https://taxisaudiarabia.com/routes/madinah-to-jeddah-airport","1","Book a fixed-price taxi from Madinah to Jeddah Airport — 410 km, approx 4h. From SAR 380, available 24/7 with licensed drivers. No surge, no hidden fees.","153","957","Indexable",""
"https://taxisaudiarabia.com/privacy-policy","1","How Taxi Saudi Arabia collects, uses and protects your personal information when you book taxi, airport transfer and Umrah transport services. Read our full privacy policy.","172","1058","Indexable",""
"https://taxisaudiarabia.com/locations/yanbu","1","Book a fixed-price taxi in Yanbu, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","153","911","Indexable",""
"https://taxisaudiarabia.com/guides","1","Practical travel guides for Saudi Arabia — Umrah Miqat and Ihram, Jeddah Airport to Makkah transfers, SIM cards, currency and more. Written for pilgrims, tourists and business travelers.","186","1147","Indexable",""
"https://taxisaudiarabia.com/routes/riyadh-to-dammam","1","Book a fixed-price taxi from Riyadh to Dammam — 390 km, approx 4h. From SAR 300, available 24/7 with licensed drivers. No surge, no hidden fees.","144","912","Indexable",""
"https://taxisaudiarabia.com/partners/driver-registration","1","Register as a chauffeur partner with Taxi Saudi Arabia and start receiving pre-booked airport, Umrah and intercity trips.","121","731","Non-Indexable","noindex"
"https://taxisaudiarabia.com/services","1","Explore our taxi and transfer services in Saudi Arabia — airport transfers, Umrah transport, Makkah & Madinah Ziyarat, intercity rides, corporate travel, and GCC cross-border trips. Fixed prices, licensed drivers, 24/7.","219","1314","Indexable",""
"https://taxisaudiarabia.com/services/car-recovery","1","24/7 car recovery & towing service in Saudi Arabia. Flatbed tow truck (satha سطحة) in Riyadh, Jeddah, Dammam, Makkah & Madinah. Fixed prices on WhatsApp, fast dispatch, intercity car transport.","193","1205","Indexable",""
"https://taxisaudiarabia.com/services/intercity","1","Book an intercity taxi in Saudi Arabia for long-distance rides between Riyadh, Jeddah, Makkah, Madinah & Dammam. Fixed prices, clean cars, 24/7 drivers.","152","950","Indexable",""
"https://taxisaudiarabia.com/gallery","1","Browse the Taxi Saudi Arabia gallery — luxury sedans, SUVs, family vans and buses used for airport transfers, Umrah transport and intercity rides across the Kingdom.","165","1023","Indexable",""
"https://taxisaudiarabia.com/book","1","Book your taxi in Saudi Arabia — enter pickup and drop-off to get an instant fixed price for airport transfers, Umrah transport and intercity rides.","148","881","Non-Indexable","noindex"
"https://taxisaudiarabia.com/services/makkah-ziyarat","1","Book a Makkah Ziyarat taxi tour — visit Jabal Al-Noor, Jabal Thawr, Mina, Arafat & Muzdalifah with knowledgeable drivers. Flexible half-day & full-day tours.","157","954","Indexable",""
"https://taxisaudiarabia.com/routes","1","Browse 50+ taxi routes across Saudi Arabia and the GCC. Fixed-price rides between Makkah, Madinah, Riyadh, Jeddah, Dammam, and more. Book online or on WhatsApp.","160","1049","Indexable",""
"https://taxisaudiarabia.com/routes/riyadh-to-dubai","1","Book a fixed-price taxi from Riyadh to Dubai, UAE — 990 km, approx 9h. From SAR 1200, available 24/7 with licensed drivers. No surge, no hidden fees.","149","929","Indexable",""
"https://taxisaudiarabia.com/services/umrah-transport","1","Umrah taxi service in Saudi Arabia — airport to Makkah, Makkah to Madinah, Ziyarat tours & Meeqat stops. English, Arabic & Urdu drivers. Fixed prices, 24/7.","156","963","Indexable",""
"https://taxisaudiarabia.com/partners","1","Partner with Saudi Arabia's premier transport network. Corporate accounts, travel-agency rates, hotel and Umrah-operator partnerships with priority dispatch and monthly invoicing.","179","1111","Indexable",""
"https://taxisaudiarabia.com/faq","1","Answers to common questions about booking a taxi in Saudi Arabia — fixed fares, airport transfers, Umrah transport, WhatsApp booking, payment, wait times and cities covered.","173","1091","Indexable",""
"https://taxisaudiarabia.com/routes/jeddah-airport-to-makkah","1","Book a fixed-price taxi from Jeddah Airport to Makkah — 80 km, approx 1h. From SAR 180, available 24/7 with licensed drivers. No surge, no hidden fees.","151","944","Indexable",""
"https://taxisaudiarabia.com/guides/meeqat-locations","1","Step-by-step guidance on all 5 Meeqat points for international pilgrims arriving by air or road — including Dhul Hulaifah and Yalamlam.","135","825","Indexable",""
"https://taxisaudiarabia.com/locations/makkah","1","Book a fixed-price taxi in Makkah, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","154","921","Indexable",""
"https://taxisaudiarabia.com/routes/makkah-to-madinah","1","Book a fixed-price taxi from Makkah to Madinah — 430 km, approx 4h. From SAR 350, available 24/7 with licensed drivers. No surge, no hidden fees.","145","913","Indexable",""
"https://taxisaudiarabia.com/locations","1","Book a taxi in any Saudi city — Riyadh, Jeddah, Makkah, Madinah, Dammam, Taif, AlUla, Abha, Yanbu, Al Khobar and more. Airport transfers, Umrah rides and intercity trips at fixed prices.","186","1143","Indexable",""
"https://taxisaudiarabia.com/routes/riyadh-to-makkah","1","Book a fixed-price taxi from Riyadh to Makkah — 870 km, approx 8h. From SAR 550, available 24/7 with licensed drivers. No surge, no hidden fees.","144","901","Indexable",""
"https://taxisaudiarabia.com/fleet","1","Hire from our Saudi Arabia taxi fleet: Toyota Camry, GMC Yukon XL, Hyundai Staria, Toyota Hiace, Mercedes S-Class and more. Fixed prices for airport transfers, Umrah and intercity rides. Available 24/7.","202","1243","Indexable",""
"https://taxisaudiarabia.com/services/corporate","1","Executive B2B transport solutions in Saudi Arabia. Monthly invoicing, ZATCA compliant receipts, priority dispatch, and dedicated account managers.","146","917","Indexable",""
"https://taxisaudiarabia.com/routes/dammam-to-doha","1","Book a fixed-price taxi from Dammam to Doha, Qatar — 400 km, approx 4h. From SAR 500, available 24/7 with licensed drivers. No surge, no hidden fees.","149","942","Indexable",""
"https://taxisaudiarabia.com/locations/dammam","1","Book a fixed-price taxi in Dammam, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","154","931","Indexable",""
"https://taxisaudiarabia.com/guides/jeddah-airport-sim-card","1","Exactly where to buy local 5G eSIMs from stc, Mobily, or Zain at Terminal 1 and the North Terminal upon landing.","112","695","Indexable",""
"https://taxisaudiarabia.com/services/border-crossings","1","Book a cross-border taxi from Saudi Arabia to Bahrain, UAE, Qatar, Kuwait, or Jordan. Fixed prices, experienced drivers, smooth border crossings. Available 24/7.","161","990","Indexable",""
"https://taxisaudiarabia.com/track-booking","1","Check the status of your Taxi Saudi Arabia booking and driver details.","70","430","Non-Indexable","noindex"
